"year" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
1948 -0.017 -0.029 0.026 -0.072 -0.006 0.053 -0.041 -0.024 -0.054 0.006 0.132 0.06
1949 0.151 0.158 0.037 0.097 -0.026 -0.001 0.07 0.1 0.068 0.102 0.106 0.116
1950 0.109 -0.035 -0.107 -0.132 -0.06 -0.044 -0.057 0.018 0.008 -0.092 0.078 0.086
1951 0.101 -0.004 0.01 0.167 0.171 0.287 0.42 0.302 0.247 0.257 0.173 0.173
1952 0.17 0.181 0.228 0.189 0.179 0.381 0.37 0.401 0.36 0.352 0.248 0.338
1953 0.263 0.183 0.139 0.311 0.34 0.273 0.341 0.256 0.278 0.146 0.242 0.256
1954 0.225 0.093 0.098 -0.016 0.067 0.097 -0.047 -0.017 -0.013 -0.035 -0.029 -0.054
1955 0.073 0.038 0.039 0.093 0.174 0.191 0.266 0.172 0.2 0.277 0.384 0.254
1956 0.184 0.092 0.011 0.061 -0.061 -0.267 -0.093 -0.101 -0.092 -0.046 -0.09 0.016
1957 -0.084 -0.109 -0.022 -0.077 -0.124 -0.015 0.037 0.199 0.218 0.147 0.081 0.076
1958 0.046 0.186 0.341 0.343 0.198 0.218 0.161 0.158 0.209 0.149 0.182 0.216
1959 0.097 0.111 -0.031 -0.007 0.004 -0.063 -0.035 0.009 0.122 0.109 0.047 0.106
1960 0.173 0.213 0.085 0.093 0.299 0.315 0.267 0.331 0.207 0.292 0.246 0.134
1961 0.057 0.077 0.144 0.223 0.189 0.029 -0.023 0.032 -0.001 0.025 0.063 0.209
1962 0.145 0.148 0.161 0.083 0.019 -0.076 -0.012 -0.068 0 0.061 0.042 0.186
1963 0.153 0.161 0.129 0.099 -0.089 -0.052 -0.04 -0.078 -0.207 -0.076 -0.062 -0.065
1964 -0.08 0.017 0.035 -0.151 0.036 -0.001 -0.149 -0.239 -0.225 -0.276 -0.171 -0.126
1965 -0.203 -0.182 -0.083 -0.102 -0.104 -0.132 -0.193 -0.215 -0.227 -0.253 -0.281 -0.128
1966 -0.081 0.005 -0.015 0.038 -0.004 -0.05 -0.061 -0.049 -0.005 0.008 -0.002 0.075
1967 0.076 0.083 -0.039 -0.021 -0.192 -0.266 -0.236 -0.17 -0.102 -0.105 -0.24 -0.158
1968 -0.252 -0.204 -0.214 -0.161 -0.129 -0.268 -0.235 -0.219 -0.156 -0.119 -0.114 -0.133
1969 -0.069 0.098 0.201 0.143 0.004 0.022 0.088 -0.107 -0.113 -0.191 -0.13 -0.038
1970 -0.016 -0.055 0.013 0.014 -0.053 -0.189 -0.206 -0.147 -0.144 -0.202 -0.247 -0.216
1971 -0.252 -0.298 -0.316 -0.419 -0.333 -0.369 -0.356 -0.441 -0.372 -0.241 -0.249 -0.314
1972 -0.324 -0.386 -0.445 -0.332 -0.475 -0.494 -0.381 -0.389 -0.309 -0.292 -0.283 -0.357
1973 -0.38 -0.399 -0.35 -0.27 -0.175 -0.181 -0.109 -0.139 -0.137 -0.221 -0.215 -0.244
1974 -0.281 -0.289 -0.407 -0.529 -0.506 -0.453 -0.52 -0.473 -0.511 -0.513 -0.431 -0.366
1975 -0.278 -0.344 -0.315 -0.351 -0.394 -0.301 -0.277 -0.191 -0.341 -0.359 -0.347 -0.327
1976 -0.39 -0.447 -0.499 -0.432 -0.494 -0.489 -0.313 -0.191 -0.199 -0.299 -0.421 -0.437
1977 -0.395 -0.339 -0.188 -0.223 -0.175 -0.113 -0.111 -0.15 -0.237 -0.229 -0.148 -0.21
